Questions;Classes;
Bye Bye;bye;
Goodbye;bye;
goodbye;bye;
Great, thanks!;bye;
Ok bye!;bye;
Ok great, thank you;bye;
peace out;bye;
Peace out!;bye;
peace out!;bye;
see you;bye;
see you later;bye;
Thank you Weatherman!;bye;
Thank you!;bye;
Thanks a lot!;bye;
Thanks!;bye;
Cloudy this week?;cloud;
cloudy today?;cloud;
Cloudy tomorrow?;cloud;
Is it cloudy outside?;cloud;
sunny today?;cloud;
what is the sky condition?;cloud;
Will it be cloudy today?;cloud;
Will it be cloudy tomorrow?;cloud;
Will it be cloudy tomorrow?;cloud;
Will it be sunny tomorrow?;cloud;
will it be sunny tomorrow?;cloud;
will it be sunny?;cloud;
Will there be clouds today?;cloud;
Cloudy;cloud;
is it going to be cloudy?;cloud;
check if cloudy;cloud;
check if cloudy tomorrow;cloud;
tell me if it is cloudy;cloud;
need to know if it is clody;cloud;
covered;cloud;
is it covered today;cloud;
covered tomorrow?;cloud;
overcast;cloud;
clouded;cloud;
is it clouded?;cloud;
is it getting cloudy tomorrow?;cloud;
does it get cloudy today?;cloud;
is it overcast?;cloud;
i want to know if it`ll be cloudy;cloud;
i want to know if it is cloudy;cloud;
are clouds expected?;cloud;
are there clouds?;cloud;
is it dense outside?;cloud;
is muddy weather?;cloud;
is it dark outside?;cloud;
Can I hear the weather forecast for tomorrow?;general_weather;
How is the climate today;general_weather;
how is the weather forecasted?;general_weather;
Is the weather good tomorrow?;general_weather;
Is tomorrow barbecue weather?;general_weather;
Is tomorrow t-shirt weather?;general_weather;
pleasant weather today?;general_weather;
snowy?;general_weather;
tell me the weather for next tuesday;general_weather;
tell me the weather forecast;general_weather;
weather this week;general_weather;
weather today;general_weather;
Weather today;general_weather;
Weather Today;general_weather;
weather tomorrow;general_weather;
weather Tomorrow;general_weather;
What does the weather forecast say for tomorrow?;general_weather;
What is the weather forecast for tomorrow?;general_weather;
What is the weather like?;general_weather;
What is the forecast;general_weather;
What will be the weather tomorrow?;general_weather;
What will the weather be like this week?;general_weather;
What will the weather be like today?;general_weather;
When will the weather be good again?;general_weather;
Will it be good weather tomorrow?;general_weather;
Will it be snowy outside tomorrow?;general_weather;
Will the sun be shining tomorrow?;general_weather;
Will the weather be nice tomorrow?;general_weather;
Will the weather be nice?;general_weather;
Will there be snow tomorrow?;general_weather;
Will we have sunshine tomorrow?;general_weather;
sunny;general_weather;
sunny?;general_weather;
weather;general_weather;
how is the weather going to be;general_weather;
how is the weather going to be tomorrow?;general_weather;
will it be colder tomorrow?;general_weather;
is the weather going to be colder tomorrow?;general_weather;
warmer tomorrow?;general_weather;
warmer;general_weather;
will it be warmer tomorrow?;general_weather;
is it going to be warmer?;general_weather;
chillier;general_weather;
chillier tomorrow?;general_weather;
will it be chillier;general_weather;
will it be chillier tomorrow;general_weather;
is it going to be chillier?;general_weather;
tomorrow;general_weather;
will it get warmer?;general_weather;
What will be the weather forecast;general_weather;
i nedd to know the weather;general_weather;
check forecast;general_weather;
what is the predicted weather tomorrow?;general_weather;
what is the weather looking like;general_weather;
what is the weather lookingmlike tomorrow?;general_weather;
tell me the forecast;general_weather;
tell me the forecast for tomorrow;general_weather;
temperature;general_weather;
temperature tomorrow;general_weather;
what´s the weather;general_weather;
what´s the weather tomorrow?;general_weather;
weather for tomorrow;general_weather;
what will it be like tomorrow;general_weather;
what will it be like today;general_weather;
i need a forecast;general_weather;
check weather;general_weather;
weather right now;general_weather;
weather outside;general_weather;
current forecast;general_weather;
now;general_weather;
what´s the weather look like?;general_weather;
i want the weather;general_weather;
can you give me the weather?;general_weather;
bad weather today?;general_weather;
good weather today?;general_weather;
is the weather ok today?;general_weather;
weather ok?;general_weather;
good afternoon weatherman;greeting;
good morning;greeting;
good morning weatherman;greeting;
hello;greeting;
hello;greeting;
Hello;greeting;
Hello, nice to meet you!;greeting;
Hey Weatherman;greeting;
Hey Weatherman, what´s up?;greeting;
hi;greeting;
hi;greeting;
Hi nice to meet you;greeting;
Hi nice to see you;greeting;
hi what up;greeting;
Hi, Weatherman;greeting;
Hi!;greeting;
Howdy, Weatherman;greeting;
nice to meet you;greeting;
Weatherman;greeting;
Yo, Weatherman;greeting;
what´s up?;greeting;
okay, let´s go;greeting;
okaaaaay, let´s go;greeting;
Yo;greeting;
Are rain clothes necessary today?;rain;
Do I need a rain jacket today?;rain;
Do I need to bring an umbrella tomorrow?;rain;
Do in need a rain jacket outside?;rain;
Is a rain jacket necessary?;rain;
Is it raining?;rain;
Is it wet outside?;rain;
Pooring rain?;rain;
Rainy today?;rain;
Will it be rainy tomorrow?;rain;
Will it be wet tomorrow?;rain;
Will it get wet?;rain;
Will it rain today?;rain;
Will it rain tomorrow?;rain;
Will it rain tomorrow?;rain;
Will it stay dry tomorrow?;rain;
Will there be rain tomorrow?;rain;
rain;rain;
rainy?;rain;
Is it supposed to rain?;rain;
tell me if it´ll rain tomorrow;rain;
tell me if it will rain today;rain;
is there rain?;rain;
humid;rain;
is the forecast rainy?;rain;
humidity;rain;
check if rain;rain;
rainy outside?;rain;
netflix today?;rain;
good gaming weather?;rain;
i want to know if it´ll be rainy tomorrow;rain;
i want to know if it rains;rain;
umbrella;rain;
do i need an umbrella;rain;
chance to get wet;rain;
is rain expected?;rain;
is there rain?;rain;
is it currently raining?;rain;
is it currently rainy?;rain;
drizzly;rain;
at which time does the sun go down?;sun_hours;
When does the sun set today?;sun_hours;
When is the sunrise?;sun_hours;
when is the sunset today?;sun_hours;
When will it get dark?;sun_hours;
When will the day start?;sun_hours;
when will the sun go up tomorrow?;sun_hours;
When will the sun rise?;sun_hours;
When will the sun set?;sun_hours;
when will the sunrise be tomorrow?;sun_hours;
check sun;sun_hours;
dusk;sun_hours;
dawn;sun_hours;
sunglasses;sun_hours;
do i need sunglasses;sun_hours;
sunset;sun_hours;
sun hours today;sun_hours;
how long will the sun shine?;sun_hours;
dark outside;sun_hours;
when is it getting dark today?;sun_hours;
how long is the sun shining?;sun_hours;
cold;temperature;
cold today?;temperature;
cold tomorrow;temperature;
hot;temperature;
hot today;temperature;
How cold will it be tomorrow?;temperature;
How is the temperature?;temperature;
how many degrees do we have?;temperature;
how many degrees is it?;temperature;
How warm will it be tomorrow?;temperature;
Is it warm/hot outside?;temperature;
warm;temperature;
warm today;temperature;
warm tomorrow;temperature;
What are the maximum temperatures today?;temperature;
What is the temperature?;temperature;
Will it be cold tomorrow?;temperature;
